channels,sample_width,frame_rate,frame_width,frame_count,dBFS,label
2,2,44100,4,56495.0,-16.529929446445998,1
2,2,44100,4,71424.0,-14.893430775811405,1
2,2,44100,4,86400.0,-19.48490488552919,1
2,2,44100,4,74454.0,-19.899328044378517,1
2,2,44100,4,91008.0,-19.766716466398254,1
2,2,44100,4,129024.0,-17.31256943470305,1
2,2,44100,4,118656.0,-21.24875087676525,1
2,2,44100,4,112896.0,-25.050489312557723,1
2,2,44100,4,126720.0,-24.51276191684193,1
2,2,44100,4,74142.0,-20.68014612914826,1
2,2,44100,4,72576.0,-20.50420899426861,1
2,2,44100,4,50735.0,-35.82348130717857,1
2,2,44100,4,41519.0,-39.91243882367998,1
2,2,44100,4,36911.0,-35.80710827756498,1
2,2,44100,4,19456.0,-16.082979500871044,1
2,2,44100,4,34607.0,-43.342901438231145,1
2,2,44100,4,73775.0,-36.540602259140144,1
2,2,44100,4,40367.0,-28.461604706611944,1
2,2,44100,4,32303.0,-34.80407350438963,1
2,2,44100,4,53039.0,-37.53921356010161,1
2,2,44100,4,40367.0,-34.65954621586863,1
2,2,44100,4,39215.0,-25.761549853401633,1
2,2,44100,4,54191.0,-31.449006831873547,1
2,2,44100,4,62255.0,-40.56623118965063,1
2,2,44100,4,69167.0,-39.03937699130614,1
2,2,44100,4,33455.0,-32.70416318128475,1
2,2,44100,4,62255.0,-31.588782784890164,1
2,2,44100,4,39215.0,-39.552616797728874,1
2,2,44100,4,41519.0,-37.400553312212516,1
2,2,44100,4,42671.0,-34.37751203498576,1
2,2,44100,4,36911.0,-29.23974660068525,1
2,2,44100,4,35759.0,-24.848973257919603,1
2,2,44100,4,33455.0,-27.306155462223188,1
2,2,44100,4,77381.0,-20.10346181084726,1
2,2,44100,4,76032.0,-22.164580840646426,1
2,2,44100,4,60019.0,-22.069873940586326,1
2,2,44100,4,50098.0,-22.665054491645282,1
2,2,44100,4,112896.0,-20.43704971918382,1
2,2,44100,4,94464.0,-21.61123628184804,1
2,2,44100,4,72576.0,-29.449617231330755,1
2,2,44100,4,124416.0,-27.90410278826705,1
2,2,44100,4,108288.0,-25.37410450471753,1
2,2,44100,4,86400.0,-22.614763840428708,1
2,2,44100,4,91008.0,-26.626531614400935,1
2,2,44100,4,99072.0,-22.37455312911889,1
2,2,44100,4,132480.0,-28.96014184366674,1
2,2,44100,4,97920.0,-30.001803591010074,1
2,2,44100,4,93312.0,-25.47309007329038,1
2,2,44100,4,103680.0,-24.48606346455664,1
2,2,44100,4,78336.0,-27.010051246757524,1
2,2,44100,4,82944.0,-25.751264606920884,1
2,2,44100,4,63360.0,-22.561202172419765,1
2,2,44100,4,112896.0,-26.541680177931394,1
2,2,44100,4,87552.0,-25.933038736959606,1
2,2,44100,4,102528.0,-23.631995797143453,1
2,2,44100,4,92160.0,-29.14807409128872,1
2,2,44100,4,96768.0,-22.546974667784024,1
2,2,44100,4,97920.0,-24.223497689651794,1
2,2,44100,4,116352.0,-23.331224237765596,1
2,2,44100,4,101376.0,-25.227709640907598,1
2,2,44100,4,112896.0,-25.828702471737074,1
2,2,44100,4,87552.0,-21.678507015445337,1
2,2,44100,4,140544.0,-30.17112454023635,1
2,2,44100,4,149760.0,-33.06637111293361,1
2,2,44100,4,156672.0,-31.340739383622335,1
2,2,44100,4,168192.0,-31.340739383622335,1
2,2,44100,4,168192.0,-30.4933448631316,1
2,2,44100,4,266112.0,-17.347656110215663,1
2,2,44100,4,253440.0,-17.046292400039274,1
2,2,44100,4,180864.0,-19.122838481054107,1
2,2,44100,4,168599.0,-14.959944337238895,1
2,2,44100,4,237312.0,-17.796577070696205,1
2,2,44100,4,216576.0,-16.691415210658135,1
2,2,44100,4,161280.0,-17.910444493364995,1
2,2,44100,4,116352.0,-14.329084010316729,1
2,2,44100,4,208512.0,-18.29825281190498,1
2,2,44100,4,196475.0,-17.661877774412893,1
2,2,44100,4,160128.0,-21.503414434482593,1
2,2,44100,4,175104.0,-17.571220559518373,1
2,2,44100,4,175930.0,-15.940625862601244,1
2,2,44100,4,115483.0,-25.730730579300594,1
2,2,44100,4,64230.0,-14.27680893864798,1
2,2,44100,4,193583.0,-15.506483959879747,1
2,2,44100,4,254639.0,-27.392644409357803,1
2,2,44100,4,200495.0,-28.219256472946455,1
2,2,44100,4,191279.0,-19.891471065427517,1
2,2,44100,4,199343.0,-29.14047821005425,1
2,2,44100,4,205103.0,-28.77618982578752,1
2,2,44100,4,160175.0,-19.925569422761175,1
2,2,44100,4,210863.0,-21.37825535772148,1
2,2,44100,4,162479.0,-27.454953784442043,1
2,2,44100,4,233903.0,-27.80588210758375,1
2,2,44100,4,258095.0,-30.10299956639812,1
2,2,44100,4,193536.0,-18.207209461562748,1
2,2,44100,4,262703.0,-23.273072561253887,1
2,2,44100,4,205103.0,-25.573216711008495,1
